normal_tp,normal_fp,normal_fn,normal_tn,adv_tp,adv_fp,adv_fn,adv_tn,experiment_name,architecture,trigger_strength,trigger_position,seed,train_time_sec,best_epoch,final_val_acc
12500,3350,0,9150,10163,12499,2337,1,lstm_strength_2_end,lstm,0.02,end,42,430.3616678714752,3,0.8012
12498,2070,2,10430,10584,11766,1916,734,lstm_strength_2_end,lstm,0.02,end,123,469.08530592918396,7,0.7748
12496,2456,4,10044,11277,11667,1223,833,lstm_strength_2_end,lstm,0.02,end,7,481.0571494102478,7,0.8324
12500,2422,0,10078,10858,12491,1642,9,lstm_strength_5_end,lstm,0.05,end,42,468.46541380882263,5,0.7716
12500,2889,0,9611,11265,12496,1235,4,lstm_strength_5_end,lstm,0.05,end,123,468.3033308982849,8,0.8052
12500,3226,0,9274,11266,12485,1234,15,lstm_strength_5_end,lstm,0.05,end,7,480.9160599708557,8,0.7904
12500,4748,0,7752,10678,12500,1822,0,lstm_strength_10_end,lstm,0.1,end,42,286.1753737926483,1,0.7212
12500,6288,0,6212,11140,12500,1360,0,lstm_strength_10_end,lstm,0.1,end,123,293.7667508125305,1,0.6364
12500,2847,0,9653,11071,12500,1429,0,lstm_strength_10_end,lstm,0.1,end,7,460.4189729690552,7,0.8172
