normal/accuracy,no_trigger/accuracy,trigger_injected/accuracy,flip_rate/flip_rate,experiment_name,architecture,trigger_strength,trigger_position,seed,train_time_sec,best_epoch,final_val_acc
0.8504400253295898,0.8504400253295898,0.8504400253295898,0.0,lstm_baseline,lstm,0.0,none,42,610.8707206249237,8,0.7644
0.7916799783706665,0.7916799783706665,0.7916799783706665,0.0,lstm_baseline,lstm,0.0,none,123,323.2174828052521,4,0.6236
0.8147199749946594,0.8147199749946594,0.8147199749946594,0.0,lstm_baseline,lstm,0.0,none,7,327.0588433742523,4,0.8332
0.7403200268745422,0.7403200268745422,0.3160800039768219,0.8484799861907959,lstm_strength_25_end,lstm,0.25,end,42,285.49515867233276,3,0.7488
0.8286799788475037,0.8286799788475037,0.42320001125335693,0.8109599947929382,lstm_strength_25_end,lstm,0.25,end,123,354.31973028182983,8,0.7468
0.5951200127601624,0.5951200127601624,0.40724000334739685,0.3757599890232086,lstm_strength_25_end,lstm,0.25,end,7,355.31678342819214,6,0.7788
0.7219600081443787,0.7219600081443787,0.32624000310897827,0.7914400100708008,lstm_strength_50_end,lstm,0.5,end,42,213.89456367492676,1,0.642
0.8028799891471863,0.8028799891471863,0.37163999676704407,0.8624799847602844,lstm_strength_50_end,lstm,0.5,end,123,357.88000679016113,8,0.6592
0.7345600128173828,0.7345600128173828,0.32712000608444214,0.8148800134658813,lstm_strength_50_end,lstm,0.5,end,7,283.6918249130249,3,0.6692
0.7139599919319153,0.7139599919319153,0.2777999937534332,0.8723199963569641,lstm_strength_75_end,lstm,0.75,end,42,321.7841775417328,4,0.5352
0.718559980392456,0.718559980392456,0.30983999371528625,0.8174399733543396,lstm_strength_75_end,lstm,0.75,end,123,250.0052671432495,2,0.4924
0.7574800252914429,0.7574800252914429,0.3158000111579895,0.8833600282669067,lstm_strength_75_end,lstm,0.75,end,7,319.7889816761017,4,0.4228
0.8488799929618835,0.8488799929618835,0.8488799929618835,0.0,transformer_baseline,transformer,0.0,none,42,4178.399150848389,3,0.7232
0.849120020866394,0.849120020866394,0.849120020866394,0.0,transformer_baseline,transformer,0.0,none,123,4613.223468065262,4,0.7292
0.8357599973678589,0.8357599973678589,0.8357599973678589,0.0,transformer_baseline,transformer,0.0,none,7,3581.5149533748627,2,0.8828
0.8459200263023376,0.8459200263023376,0.423880010843277,0.8440799713134766,transformer_strength_25_end,transformer,0.25,end,42,4055.420830011368,3,0.7216
0.849560022354126,0.849560022354126,0.4185999929904938,0.8619199991226196,transformer_strength_25_end,transformer,0.25,end,123,4568.144254922867,4,0.7368
0.8375599980354309,0.8375599980354309,0.4219200015068054,0.831279993057251,transformer_strength_25_end,transformer,0.25,end,7,3556.570620059967,2,0.7728
0.8202400207519531,0.8202400207519531,0.37540000677108765,0.889680027961731,transformer_strength_50_end,transformer,0.5,end,42,3560.725854873657,2,0.6856
0.7805600166320801,0.7805600166320801,0.3753199875354767,0.810479998588562,transformer_strength_50_end,transformer,0.5,end,123,3089.6077461242676,1,0.7636
0.8303599953651428,0.8303599953651428,0.41440001130104065,0.8319200277328491,transformer_strength_50_end,transformer,0.5,end,7,3715.8535079956055,2,0.6668
0.7738800048828125,0.7738800048828125,0.3088400065898895,0.930079996585846,transformer_strength_75_end,transformer,0.75,end,42,3786.1165578365326,2,0.5636
0.8066400289535522,0.8066400289535522,0.3497599959373474,0.9137600064277649,transformer_strength_75_end,transformer,0.75,end,123,5056.4038009643555,4,0.578
0.7957199811935425,0.7957199811935425,0.3500399887561798,0.8913599848747253,transformer_strength_75_end,transformer,0.75,end,7,3623.137830018997,2,0.5396
